company_name,aliases,priority,status
CtrlS,"CtrlS Datacenters,CtrlS Data Centers",High,Active
Nxtra Data,"Airtel Nxtra,Nxtra by Airtel",High,Active
Equinix,Equinix India,High,Active
NTT,"NTT Global Data Centers,NTT GDC India",High,Active
Bridge Data Centres,"Bridge Data Centers,BridgeDC",High,Active
Web Werks,"Web Werks India",High,Active
Rackbank,"RackBank Data Center",Medium,Active
TATA Communications,"Tata Communications",High,Active
Zenlayer,Zenlayer India,Medium,Active
Zoho,"Zoho Corporation,Zoho Corp",Medium,Active
Microsoft,Microsoft India,High,Active
AWS India,"Amazon Web Services India,AWS",High,Active
Google Cloud India,"Google Cloud,Google India Cloud",High,Active
AdaniConneX,"Adani Connex,AdaniConneX Data Centers",High,Active
Yotta,Yotta Data Services,High,Active
STT GDC India,"ST Telemedia Global Data Centres,STT Global Data Centres India",High,Active
Sify Technologies,"Sify,Sify Data Center",High,Active
Reliance Communications,"Reliance Communications Ltd,Reliance Jio",High,Active
Bharti Airtel,"Airtel,Bharti Airtel Ltd",High,Active
IBM,IBM India,Medium,Active
Dell,Dell Technologies,Medium,Active
NetMagic,"NetMagic Solutions",Medium,Active
Trimax,"Trimax IT Infrastructure",Medium,Active
Pi Datacentres,"Pi Datacentres Private Limited",High,Active
ESDS,"ESDS Software Solution",Medium,Active
Sungard,"Sungard AS,Sungard Availability Services",Medium,Active
Princeton Digital Group,PDG,High,Active
CapitaLand Data Centre,CapitaLand,Medium,Active
NeevCloud,NeevCloud,Medium,Active
Lumina CloudInfra,Lumina CloudInfra,Medium,Active
Digital Connexion,"Digital Connexion,BSNL",Medium,Active
ST Telemedia GDC,"ST Telemedia Global Data Centres",High,Active
